BUSINESS DATE,CLOSE PRICE,HIGH PRICE,LOW PRICE,TOTAL TRADED QUANTITY,TOTAL TRADED VALUE,TOTAL TRADES
2025-12-31,298.0,298.5,292.0,51018,1.51007263E7,188
2025-12-29,294.4,302.9,292.0,31487,9295774.0,166
2025-12-28,297.0,316.8,286.0,49373,1.44810348E7,245
2025-12-24,288.0,290.0,285.2,20792,5948636.7,112
2025-12-23,286.9,290.0,285.2,23575,6746825.5,114
2025-12-22,288.8,290.0,286.0,20208,5801029.3,165
2025-12-21,289.8,291.0,287.2,27646,7969548.3,178
2025-12-18,292.0,297.0,291.0,11848,3463805.3,112
2025-12-17,294.0,296.0,292.0,26518,7791190.3,134
2025-12-16,292.9,292.9,288.0,14912,4341221.6,145
2025-12-15,289.4,290.0,286.2,24328,7006418.9,162
2025-12-14,290.0,293.0,287.1,27744,8008254.7,165
2025-12-11,292.0,293.0,288.0,26009,7529284.4,208
2025-12-10,291.4,297.0,290.0,24514,7124583.7,176
2025-12-09,292.3,298.9,292.0,37931,1.11324987E7,221
2025-12-08,296.6,302.0,295.0,24934,7391367.6,162
2025-12-07,298.9,304.0,295.5,22681,6735304.1,184
2025-12-03,298.2,304.0,298.1,23796,7133576.8,186
2025-12-02,301.0,302.9,300.0,40658,1.22223937E7,201
2025-12-01,303.9,306.0,300.3,56148,1.69811226E7,317
2025-11-30,307.0,322.4,306.0,67768,2.09569288E7,413
2025-11-27,328.9,330.0,322.1,192110,6.28351512E7,713
2025-11-26,324.5,325.0,321.0,63588,2.0576015E7,302
2025-11-25,320.0,321.0,316.3,48790,1.55551511E7,218
2025-11-24,317.0,318.0,312.0,33678,1.06823385E7,184
2025-11-23,316.0,316.0,313.2,61239,1.9272047E7,252
2025-11-20,312.4,313.9,312.0,23008,7195946.3,124
2025-11-19,312.8,315.0,312.0,22061,6893003.7,113
2025-11-18,314.5,316.9,311.6,24019,7533338.6,145
2025-11-17,313.7,318.2,310.1,24424,7619221.4,145
2025-11-16,312.0,314.5,310.1,22740,7086510.6,124
2025-11-13,312.0,313.9,311.5,39923,1.24691713E7,155
2025-11-12,313.0,316.9,312.0,19975,6242919.6,122
2025-11-11,313.8,314.0,312.0,29052,9089277.5,149
2025-11-10,312.6,315.0,312.0,60370,1.88638943E7,166
2025-11-09,315.0,318.8,312.0,121484,3.81170644E7,360
2025-11-06,318.0,320.8,316.0,223177,7.10600578E7,528
2025-11-05,315.0,315.0,308.0,41787,1.29683751E7,154
2025-11-04,312.0,322.0,309.1,56192,1.75174053E7,202
2025-11-03,317.0,320.3,312.0,26537,8347086.8,143
2025-11-02,315.0,325.9,313.0,34431,1.0855529E7,214
2025-10-30,313.5,319.9,310.0,28033,8779259.1,154
2025-10-29,312.0,320.0,308.7,27920,8746121.8,172
2025-10-28,315.0,318.0,309.0,20072,6307339.6,150
2025-10-26,309.0,310.0,305.0,18308,5623206.8,124
2025-10-19,309.9,311.0,305.0,14571,4476640.7,118
2025-10-16,308.9,312.0,305.5,18464,5661314.4,123
2025-10-15,308.0,308.5,306.0,24390,7493603.4,114
2025-10-14,309.0,313.9,307.0,26968,8314724.9,137
2025-10-13,310.0,311.0,306.2,18227,5619864.7,193
2025-10-12,307.7,317.0,307.0,73570,2.27457993E7,295
2025-10-09,317.0,324.0,314.0,44571,1.41838683E7,227
2025-10-08,312.4,315.0,310.5,43145,1.34522534E7,211
2025-10-07,316.9,322.9,315.8,35362,1.12158837E7,183
2025-09-28,319.5,321.0,315.0,26821,8532207.9,130
2025-09-25,317.3,317.9,311.0,29186,9236251.3,132
2025-09-24,316.0,321.5,312.0,28083,8841447.3,184
2025-09-23,317.0,321.0,312.2,61925,1.96280694E7,335
2025-09-21,317.01,322.0,293.0,67958,2.1036109E7,468
2025-09-18,298.7,310.9,293.0,3170,948638.0,31
2025-09-08,317.16,321.0,317.0,69424,2.2091514E7,297
2025-09-07,321.11,327.8,320.6,49379,1.58971109E7,285
2025-09-04,324.71,325.4,322.2,32179,1.04172686E7,194
2025-09-03,324.08,326.7,323.5,29206,9482167.1,193
2025-09-02,325.5,334.0,325.0,25961,8487008.4,195
2025-09-01,327.47,329.6,323.2,37584,1.22285561E7,243
2025-08-31,323.22,331.0,322.5,42198,1.37135191E7,317
2025-08-28,327.55,332.0,326.0,66102,2.17361085E7,314
2025-08-27,331.31,332.8,326.0,45857,1.51069656E7,271
2025-08-26,326.28,329.0,325.4,27429,8951746.5,155
2025-08-25,326.49,328.0,323.0,53184,1.73074998E7,244
2025-08-24,326.2,330.9,326.0,50565,1.65405656E7,278
2025-08-21,329.26,334.0,328.6,56884,1.87755603E7,319
2025-08-20,332.5,338.0,332.1,31830,1.06119296E7,207
2025-08-19,335.67,339.0,335.0,42199,1.4206187E7,261
2025-08-18,337.68,338.8,334.0,81072,2.73038268E7,428
2025-08-17,334.66,337.0,332.0,80302,2.68812881E7,421
2025-08-14,332.45,333.9,330.3,86636,2.87763785E7,274
2025-08-13,330.48,335.0,330.0,77384,2.56881065E7,349
2025-08-12,330.97,334.5,328.0,123924,4.10070289E7,425
2025-08-11,334.44,344.9,333.0,377771,1.270709817E8,1246
2025-08-07,326.85,334.3,325.1,41801,1.36968723E7,251
2025-08-06,327.8,331.8,322.5,47800,1.5610082E7,233
2025-08-05,325.39,334.0,325.0,52835,1.73237595E7,287
2025-08-04,327.91,329.0,322.0,73743,2.40693573E7,276
2025-08-03,326.37,329.9,323.0,89591,2.92244504E7,439
2025-07-31,332.18,336.6,327.0,128639,4.27777839E7,441
2025-07-30,332.08,342.0,331.5,109653,3.67887857E7,442
2025-07-29,335.35,340.1,333.1,187129,6.30714042E7,620
2025-07-28,331.79,333.5,324.0,118015,3.87451214E7,658
2025-07-27,332.03,339.0,329.9,129779,4.3423538E7,627
2025-07-24,336.59,341.0,335.1,72244,2.43679078E7,408
2025-07-23,339.6,342.0,334.2,121584,4.11829672E7,523
2025-07-22,339.57,341.9,334.0,142308,4.82863388E7,612
2025-07-21,332.11,335.0,325.4,104403,3.45107595E7,473
2025-07-20,330.22,342.0,326.0,226513,7.60620873E7,855
2025-07-17,331.6,333.5,328.0,187049,6.20173324E7,521
2025-07-16,327.13,330.1,324.0,142187,4.6621305E7,546
2025-07-15,323.7,326.0,311.7,106227,3.3639078E7,412
2025-07-14,315.71,329.0,314.2,115004,3.65587873E7,525
2025-07-13,327.02,333.5,320.9,215092,7.01093823E7,895
2025-07-10,314.7,320.0,304.1,258347,8.14709598E7,1058
2025-07-09,304.2,307.0,295.1,122851,3.70529376E7,457
2025-07-08,297.08,299.0,294.0,76334,2.25777324E7,211
2025-07-07,296.51,303.5,296.0,58749,1.76043993E7,247
2025-07-06,299.94,306.0,297.0,72632,2.18448907E7,301
2025-07-03,300.74,305.0,297.0,123907,3.71826305E7,407
2025-07-02,300.65,301.8,294.0,124408,3.71715812E7,459
2025-07-01,293.7,296.0,281.6,65159,1.89654668E7,281
2025-06-30,287.28,291.0,286.0,25817,7430581.2,190
2025-06-29,286.67,287.4,280.0,37928,1.07725278E7,186
2025-06-26,281.85,284.0,281.1,30005,8456034.1,156
2025-06-25,281.73,286.0,281.0,17868,5036748.6,144
2025-06-24,281.48,285.7,277.0,24677,6983497.5,170
2025-06-23,281.24,282.4,278.5,28893,8105916.6,185
2025-06-22,281.08,287.0,280.5,37857,1.0678944E7,221
2025-06-19,284.18,285.0,280.0,19789,5620534.7,159
2025-06-18,285.52,288.0,284.0,17243,4924385.6,132
2025-06-17,284.77,287.0,283.1,19099,5428592.1,128
2025-06-16,286.05,289.0,284.5,25471,7275801.7,193
2025-06-15,284.25,288.0,284.0,35850,1.02076666E7,243
2025-06-12,286.2,289.3,285.0,28838,8250613.9,173
2025-06-11,288.09,291.0,284.2,13387,3857620.9,133
2025-06-10,288.33,293.0,287.2,25016,7230860.2,194
2025-06-09,288.44,291.0,285.0,17735,5128465.9,140
2025-06-08,287.6,290.0,285.0,10481,3010633.6,103
2025-06-05,288.25,291.0,283.0,43892,1.25987984E7,217
2025-06-04,290.21,291.0,285.7,21673,6263062.5,141
2025-06-03,291.42,298.0,291.1,37267,1.0906849E7,183
2025-06-02,296.78,306.0,294.6,56718,1.69289501E7,326
2025-05-28,299.6,300.0,291.8,49484,1.46937554E7,249
2025-05-27,294.44,296.0,290.0,37980,1.11438082E7,165
2025-05-26,297.05,303.0,297.0,56707,1.69465642E7,287
2025-05-25,294.98,300.0,294.1,29709,8816051.4,208
2025-05-22,296.73,303.0,284.0,59233,1.75317068E7,350
2025-05-21,289.29,305.0,288.1,57459,1.69411725E7,336
2025-05-20,289.4,290.7,280.0,29990,8586259.2,190
2025-05-19,282.78,284.9,280.1,21693,6134099.5,133
2025-05-18,280.36,283.5,278.0,26842,7510458.4,187
2025-05-15,281.11,282.0,278.2,26415,7412963.8,158
2025-05-14,281.08,285.0,280.0,18859,5300226.6,169
2025-05-13,282.06,286.79,280.9,21636,6119318.96,172
2025-05-11,284.27,292.0,284.0,21211,6046435.5,149
2025-05-08,287.17,292.0,283.0,22151,6385490.4,175
2025-05-07,286.33,287.0,272.3,29812,8423092.2,210
2025-05-06,277.83,281.0,277.5,24515,6822398.1,222
2025-05-05,280.16,281.5,279.0,14774,4139184.2,143
2025-05-04,280.11,285.0,279.0,19617,5507240.8,199
2025-04-30,280.63,281.9,279.0,25703,7211538.1,179
2025-04-29,281.09,283.0,280.0,16939,4768573.8,176
2025-04-28,282.06,282.8,280.0,22512,6342921.2,167
2025-04-27,281.27,285.9,280.3,26308,7412711.0,222
2025-04-24,283.45,284.8,280.5,20455,5766008.1,189
2025-04-23,282.91,287.0,282.1,21640,6142098.4,194
2025-04-22,285.99,291.0,285.1,20167,5767480.3,155
2025-04-21,287.56,293.0,287.0,23794,6867513.3,196
2025-04-20,290.92,297.0,288.2,37196,1.08092945E7,190
2025-04-17,291.96,295.0,289.5,26221,7651074.8,162
2025-04-16,289.97,294.0,289.0,23865,6952798.4,178
2025-04-15,288.45,292.9,286.2,21484,6236362.3,161
2025-04-13,288.18,290.0,285.0,24409,7024076.9,186
2025-04-10,287.85,293.0,287.1,19731,5687713.3,148
2025-04-09,290.37,300.0,289.9,23950,6979137.6,181
2025-04-08,291.09,293.0,285.0,33174,9530833.2,204
2025-04-07,291.72,305.0,291.1,20209,5920361.0,184
2025-04-03,299.13,303.9,295.0,79398,2.38490076E7,373
2025-04-02,295.23,313.0,285.2,41118,1.19955029E7,264
2025-04-01,288.99,290.0,285.0,16186,4653391.8,160
2025-03-30,287.3,290.0,285.0,28128,8102372.4,238
2025-03-27,285.38,287.8,283.7,21529,6129493.5,188
2025-03-26,282.17,283.0,278.5,18208,5119018.8,165
2025-03-25,280.58,290.0,280.0,33659,9487318.2,223
2025-03-24,285.87,287.9,280.0,15084,4279533.9,171
2025-03-23,282.36,290.0,282.0,55957,1.58521384E7,283
2025-03-20,285.66,288.0,283.0,16174,4618907.0,157
2025-03-19,286.1,291.0,286.0,21954,6317880.1,196
2025-03-18,289.6,295.8,289.0,19349,5621101.9,184
2025-03-17,290.0,291.8,289.0,20075,5822417.9,153
